160	201	222
161	202	222
162	220	222
164	220	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
182	204	222
184	204	222
186	205	222
185	201	222
185	200	222
186	199	222
186	197	222
186	196	222
187	196	222
188	195	222
189	195	222
190	194	222
191	194	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
263	226	222
264	223	222
269	223	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
361	244	222
160	160	128
160	160	128
204	174	222
204	173	222
189	167	222
189	167	222
186	165	222
187	165	222
173	161	222
173	161	222
173	161	222
173	160	222
173	160	222
160	160	128
173	160	222
160	160	128
173	160	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
184	154	222
160	160	128
160	160	128
160	160	128
160	160	128
183	152	222
182	151	222
183	151	222
183	150	222
183	150	222
160	160	128
160	160	128
160	160	128
160	160	128
172	152	222
160	160	128
160	160	128
160	160	128
172	151	222
160	160	128
171	151	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
175	143	222
174	143	222
176	140	222
160	160	128
173	141	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
150	76	222
148	75	222
146	76	222
145	76	222
143	76	222
141	75	222
139	75	222
137	75	222
135	75	222
133	75	222
131	75	222
129	75	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
120	91	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
122	116	222
117	112	222
115	113	222
160	160	128
95	96	222
94	98	222
92	99	222
90	100	222
88	101	222
105	117	222
103	117	222
160	160	128
57	89	222
57	92	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
79	125	222
81	128	222
82	130	222
160	160	128
147	156	222
147	156	222
147	157	222
147	157	222
147	157	222
147	158	222
147	158	222
146	158	222
146	158	222
146	159	222
146	159	222
146	159	222
146	159	222
145	160	222
145	160	222
145	160	222
145	161	222
145	161	222
144	161	222
144	162	222
144	162	222
144	162	222
160	160	128
144	163	222
160	160	128
144	163	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
127	173	222
128	174	222
128	174	222
129	175	222
160	160	128
160	160	128
160	160	128
160	160	128
65	218	222
70	217	222
160	160	128
78	218	222
81	218	222
84	218	222
88	218	222
91	218	222
94	218	222
97	218	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
111	218	222
113	218	222
115	218	222
117	218	222
119	218	222
121	218	222
122	219	222
124	219	222
126	218	222
128	218	222
129	218	222
131	218	222
132	218	222
134	218	222
135	219	222
137	219	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
153	197	222
160	160	128
160	160	128
160	160	128
155	197	222
160	160	128
160	160	128
160	160	128
160	160	128
160	160	128
